Default Name,13.3,181,58,172,1.0,Linear,HeadPose,0 
Default Name,13.3,61,48,38,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,214,74,201,1.0,Linear,HeadPose,0 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,53,14,51,[594.],Trigonometric,FullFace,53 
Default Name,13.3,53,14,51,[594.],Linear,FullFace,0 
Default Name,13.3,119,50,108,[590.],Trigonometric,FullFace,6 
Default Name,13.3,105,23,102,[590.],Linear,FullFace,-2 
Default Name,13.3,92,65,65,[580.],Trigonometric,FullFace,3 
Default Name,13.3,72,31,65,[580.],Linear,FullFace,-2 
Default Name,13.3,103,6,103,[577.],Trigonometric,FullFace,10 
Default Name,13.3,95,10,94,[577.],Linear,FullFace,-8 
Default Name,13.3,84,77,33,[579.],Trigonometric,FullFace,-16 
Default Name,13.3,56,43,35,[579.],Linear,FullFace,-17 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,104,37,97,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,63,54,32,1.0,Linear,HeadPose,-25 
Default Name,13.3,54,53,9,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,109,106,25,1.0,Linear,HeadPose,-75 
Default Name,13.3,186,102,155,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,95,9,94,1.0,Linear,HeadPose,36 
Default Name,13.3,128,127,12,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,232,229,35,1.0,Linear,HeadPose,-79 
Default Name,13.3,184,125,134,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,111,44,102,1.0,Linear,HeadPose,61 
person,screen_size,err_mm,err_mm_x,err_mm_y,dist_screen_mm, convert_pixel_method, model_method,net_improve
Default Name,13.3,125,28,122,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,255,32,253,1.0,Linear,HeadPose,0 
Default Name,13.3,148,20,146,1.0,Trigonometric,HeadPose,0 
Default Name,13.3,726,33,725,1.0,Linear,HeadPose,0 
Default Name,13.3,191,96,165,1.0,Trigonometric,HeadPose,0 
